name,codepoint_hex,codepoint_dec
calendar_clock,0xf540,62784
calendar_lock,0xf242,62018
calendar_meal,0xf296,62102
calendar_meal_2,0xf240,62016
calendar_month,0xebcc,60364
calendar_today,0xe935,59701
calendar_view_day,0xe936,59702
calendar_view_month,0xefe7,61415
calendar_view_week,0xefe8,61416
call,0xf0d4,61652
call_end,0xf0bc,61628
call_end_alt,0xf0bc,61628
call_log,0xe08e,57486
call_made,0xe0b2,57522
call_merge,0xe0b3,57523
call_missed,0xe0b4,57524
call_missed_outgoing,0xe0e4,57572
call_quality,0xf652,63058
call_received,0xe0b5,57525
call_split,0xe0b6,57526
call_to_action,0xe06c,57452
camera,0xe3af,58287
camera_alt,0xe412,58386
camera_enhance,0xe8fc,59644
camera_front,0xf2c9,62153
camera_indoor,0xefe9,61417
camera_outdoor,0xefea,61418
camera_rear,0xf2c8,62152
camera_roll,0xe3b3,58291
camera_video,0xf7a6,63398
cameraswitch,0xefeb,61419
campaign,0xef49,61257
camping,0xf8a2,63650
cancel,0xe888,59528
cancel_presentation,0xe0e9,57577
cancel_schedule_send,0xea39,59961
candle,0xf588,62856
candlestick_chart,0xead4,60116
cannabis,0xf2f3,62195
captive_portal,0xf728,63272
capture,0xf727,63271
car_crash,0xebf2,60402
car_defrost_left,0xf344,62276
car_defrost_low_left,0xf343,62275
car_defrost_low_right,0xf342,62274
car_defrost_mid_left,0xf278,62072
car_defrost_mid_low_left,0xf341,62273
car_defrost_mid_low_right,0xf277,62071
car_defrost_mid_right,0xf340,62272
car_defrost_right,0xf33f,62271
car_fan_low_left,0xf33e,62270
car_fan_low_mid_left,0xf33d,62269
car_fan_low_right,0xf33c,62268
car_fan_mid_left,0xf33b,62267
car_fan_mid_low_right,0xf33a,62266
car_fan_mid_right,0xf339,62265
car_fan_recirculate,0xf338,62264
car_gear,0xf337,62263
car_lock,0xf336,62262
car_mirror_heat,0xf335,62261
car_rental,0xea55,59989
car_repair,0xea56,59990
car_tag,0xf4e3,62691
card_giftcard,0xe8f6,59638
card_membership,0xe8f7,59639
card_travel,0xe8f8,59640
cardio_load,0xf4b9,62649
cardiology,0xe09c,57500
cards,0xe991,59793
cards_star,0xf375,62325
carpenter,0xf1f8,61944
carry_on_bag,0xeb08,60168
carry_on_bag_checked,0xeb0b,60171
carry_on_bag_inactive,0xeb0a,60170
carry_on_bag_question,0xeb09,60169
cases,0xe992,59794
casino,0xeb40,60224
cast,0xe307,58119
cast_connected,0xe308,58120
cast_for_education,0xefec,61420
cast_pause,0xf5f0,62960
cast_warning,0xf5ef,62959
castle,0xeab1,60081
category,0xe574,58740
category_search,0xf437,62519
celebration,0xea65,60005
cell_merge,0xf82e,63534
cell_tower,0xebba,60346
cell_wifi,0xe0ec,57580
center_focus_strong,0xe3b4,58292
center_focus_weak,0xe3b5,58293
chair,0xefed,61421
chair_alt,0xefee,61422
chair_counter,0xf29f,62111
chair_fireplace,0xf29e,62110
chair_umbrella,0xf29d,62109
chalet,0xe585,58757
change_circle,0xe2e7,58087
change_history,0xe86b,59499
charger,0xe2ae,58030
charging_station,0xf2e3,62179
chart_data,0xe473,58483
